ds,Actual,Forecast
2006-12-13,252.87,263.02290336901973
2006-12-14,252.635,262.9755217833465
2006-12-15,253.295,262.87248513760846
2006-12-18,252.86,262.5620023591053
2006-12-19,253.57,262.40632655415567
2006-12-20,252.84,262.3084874362423
2006-12-21,252.125,262.2587290985339
2006-12-22,255.345,262.1512031426294
2006-12-25,255.025,261.8170285390252
2006-12-26,254.42,261.65108763894983
2006-12-27,253.41,261.5423884448119
2006-12-28,251.76,261.48154216786
2006-12-29,251.365,261.3630579999974
2007-01-01,251.48,260.99995584918497
2007-01-02,251.645,260.8265305380452
2007-01-03,252.24,260.7117082317031
2007-01-04,254.025,260.646172105913
2007-01-05,254.66,260.5244330402392
2007-01-08,253.795,260.15913945486915
2007-01-09,254.865,259.9868336473403
2007-01-10,255.45,259.87357563976013
2007-01-11,254.19,259.80969326070004
2007-01-12,252.25,259.68931278829064
2007-01-15,252.07,259.3223153800161
2007-01-16,253.66,259.14622267566006
2007-01-17,253.165,259.02699358368744
2007-01-18,251.7,258.9546826456182
2007-01-19,252.09,258.82320793050746
2007-01-22,252.875,258.40603645293635
2007-01-23,254.485,258.2077356007115
2007-01-24,253.835,258.0638680788457
2007-01-25,257.215,257.96482004676903
2007-01-26,256.45,257.8049341612534
2007-01-29,256.955,257.2979822127299
2007-01-30,257.545,257.0704186680461
2007-01-31,255.105,256.89883921620384
2007-02-01,255.295,256.77440669615197
2007-02-02,255.445,256.59224707042284
2007-02-05,253.5,256.0446908204612
2007-02-06,253.115,255.8146283085574
2007-02-07,253.465,255.6470446832555
2007-02-08,253.41,255.5335522125888
2007-02-09,253.815,255.3696155054581
2007-02-12,255.385,254.92192800426346
2007-02-13,253.455,254.74004412475267
2007-02-14,252.02,254.62764303880851
2007-02-15,252.945,254.5758620944067
2007-02-16,251.945,254.47955641336122
2007-02-19,251.69,254.26235085171018
2007-02-20,251.8,254.1633223551012
2007-02-21,251.655,254.1349970684117
2007-02-22,252.17,254.16734758363663
2007-02-23,252.38,254.15403256172206
2007-02-26,252.155,254.16695149960012
2007-02-27,257.34,254.13448212708474
2007-02-28,254.745,254.16584696224362
2007-03-01,254.655,254.25006558360366
2007-03-02,253.8,254.2799504117119
2007-03-05,254.475,254.3638967209346
2007-03-06,253.065,254.3341025796949
2007-03-07,252.405,254.35728661662944
2007-03-08,250.635,254.4224930575826
2007-03-09,249.49,254.42271824804016
2007-03-12,249.15,254.35794185412135
2007-03-13,251.605,254.26075332718406
2007-03-14,249.905,254.20899971603706
2007-03-15,249.34,254.1927088684477
2007-03-16,249.225,254.10594778099946
2007-03-19,245.845,253.7589178453128
2007-03-20,247.07,253.56460637520541
2007-03-21,245.76,253.41626384144362
2007-03-22,246.12,253.3051244404658
2007-03-23,246.585,253.12641911159105
2007-03-26,247.94,252.53164114166242
2007-03-27,248.47,252.26723298556226
2007-03-28,249.125,252.05634173380494
2007-03-29,248.35,251.89080971278298
2007-03-30,247.975,251.6663495538016
2007-04-02,247.54,250.98898076140938
2007-04-03,246.13,250.71555469126045
2007-04-04,245.68,250.50472246104786
2007-04-05,246.265,250.3480349223454
2007-04-06,245.915,250.14080061561143
2007-04-09,245.675,249.55987159249364
2007-04-10,245.28,249.3312554631197
2007-04-11,245.53,249.1702728014577
2007-04-12,245.73,249.06762971426008
2007-04-13,245.63,248.91776335686592
2007-04-16,245.18,248.52006180564558
2007-04-17,245.72,248.3533513252696
2007-04-18,246.44,248.25332571820175
2007-04-19,246.28,248.20994292140912
2007-04-20,245.555,248.11695297914517
2007-04-23,245.51,247.8697940533519
2007-04-24,245.66,247.74504756175486
2007-04-25,245.6,247.6823348700269
2007-04-26,246.115,247.67142366699116
2007-04-27,245.675,247.60596404194786
2007-04-30,247.635,247.4120514530002
2007-05-01,248.16,247.29577712061797
2007-05-02,247.28,247.23733167624212
2007-05-03,246.42,247.22683576224554
2007-05-04,246.08,247.15834227698116
2007-05-07,245.795,246.93920641929276
2007-05-08,246.35,246.8107860356597
2007-05-09,247.02,246.73916324334624
2007-05-10,249.89,246.71495261829563
2007-05-11,248.59,246.63268206823295
2007-05-14,247.32,246.37613544678405
2007-05-15,247.96,246.23778275174772
2007-05-16,249.74,246.157992779058
2007-05-17,250.195,246.12759797878692
2007-05-18,250.42,246.04128783497603
2007-05-21,248.71,245.78626011158727
2007-05-22,248.02,245.65294571725923
2007-05-23,249.11,245.58032877826153
2007-05-24,251.47,245.5590978311342
2007-05-25,250.33,245.48376288155276
2007-05-28,250.145,245.2703392513727
2007-05-29,250.675,245.1529733782264
2007-05-30,250.455,245.09692259037627
2007-05-31,250.225,245.09262634389853
2007-06-01,249.7,245.03435732760582
2007-06-04,250.36,244.8708297011182
2007-06-05,252.06,244.76908759581067
2007-06-06,253.255,244.72793928527165
2007-06-07,254.565,244.73773817193208
2007-06-08,253.625,244.69269979017056
2007-06-11,253.05,245.00804922617368
2007-06-12,254.21,245.06418472360198
2007-06-13,253.14,245.18009737172684
2007-06-14,251.82,245.3461854075651
2007-06-15,249.85,245.45670795808624
2007-06-18,250.165,245.79010748054702
2007-06-19,249.045,245.85091341029397
2007-06-20,249.305,245.97077024937633
2007-06-21,248.595,246.14000132504594
2007-06-22,246.75,246.25275913026937
2007-06-25,247.11,246.58587417050344
2007-06-26,247.91,246.64359405491103
2007-06-27,246.94,246.7584781239325
2007-06-28,245.47,246.92059015822775
2007-06-29,246.71,247.023816462916
2007-07-02,246.245,247.31128471203115
2007-07-03,246.47,247.3473413530378
2007-07-04,245.85,247.43703970514076
2007-07-05,247.39,247.57033532622725
2007-07-06,246.525,247.6410668856484
2007-07-09,245.285,247.80958100849176
2007-07-10,246.49,247.79943175937063
2007-07-11,246.51,247.8401628572906
2007-07-12,245.415,247.92217111322958
2007-07-13,245.725,247.9398221208371
2007-07-16,245.435,247.94477797487912
2007-07-17,245.5,247.8811505978776
2007-07-18,245.815,247.87029142497596
2007-07-19,245.335,247.90346497136397
2007-07-20,246.205,247.87591385992727
2007-07-23,245.985,247.7755966256624
2007-07-24,246.995,247.68962887959228
2007-07-25,247.395,247.66395709508072
2007-07-26,251.915,247.69040004301678
2007-07-27,251.86,247.6646408302283
2007-07-30,252.265,247.62326277267272
2007-07-31,252.62,247.5748794814812
2007-08-01,251.525,247.5954196393922
2007-08-02,251.335,247.67626362875282
2007-08-03,252.225,247.71250439427575
2007-08-06,251.625,247.89471707592543
2007-08-07,250.105,247.93011471462688
2007-08-08,248.865,248.03717327439486
2007-08-09,251.61,248.20603343384522
2007-08-10,252.005,248.33050882655203
2007-08-13,252.68,248.7658697452303
2007-08-14,258.095,248.87766278960964
2007-08-15,258.66,249.055219549108
2007-08-16,258.63,249.28768672348303
2007-08-17,258.005,249.46801254704408
2007-08-20,259.665,250.01801802795308
2007-08-21,261.83,250.1491194740929
2007-08-22,258.72,250.33634938303388
2007-08-23,258.16,250.56902287534348
2007-08-24,256.415,250.74043782912358
2007-08-27,256.155,251.21502381123395
2007-08-28,257.99,251.30750076082197
2007-08-29,256.365,251.45103937139686
2007-08-30,255.04,251.63609465243465
